Species,dataset,PC,Variance_Percentage
Coffea,singlecopy,PC14,2.42
Coffea,singlecopy,PC15,2.41
Coffea,singlecopy,PC16,2.39
Coffea,singlecopy,PC17,2.37
Coffea,singlecopy,PC18,2.35
Coffea,singlecopy,PC19,2.33
Coffea,singlecopy,PC20,2.32
Coffea,singlecopy,PC21,2.31
Coffea,singlecopy,PC22,2.29
Coffea,singlecopy,PC23,2.27
Coffea,singlecopy,PC24,2.26
Coffea,singlecopy,PC25,2.26
Coffea,singlecopy,PC26,2.25
Coffea,singlecopy,PC27,2.21
Coffea,singlecopy,PC28,2.2
Coffea,singlecopy,PC29,2.17
Coffea,singlecopy,PC30,2.17
Coffea,singlecopy,PC31,2.15
Coffea,singlecopy,PC32,2.13
Coffea,SCsuper,PC1,4.56
Coffea,SCsuper,PC2,3.45
Coffea,SCsuper,PC3,3.05
Coffea,SCsuper,PC4,2.94
Coffea,SCsuper,PC5,2.79
Coffea,SCsuper,PC6,2.72
Coffea,SCsuper,PC7,2.65
Coffea,SCsuper,PC8,2.52
Coffea,SCsuper,PC9,2.5
Coffea,SCsuper,PC10,2.47
Coffea,SCsuper,PC11,2.44
Coffea,SCsuper,PC12,2.43
Coffea,SCsuper,PC13,2.41
Coffea,SCsuper,PC14,2.39
Coffea,SCsuper,PC15,2.37
Coffea,SCsuper,PC16,2.36
Coffea,SCsuper,PC17,2.35
Coffea,SCsuper,PC18,2.33
Coffea,SCsuper,PC19,2.3
Coffea,SCsuper,PC20,2.29
Coffea,SCsuper,PC21,2.27
Coffea,SCsuper,PC22,2.27
Coffea,SCsuper,PC23,2.25
Coffea,SCsuper,PC24,2.23
Coffea,SCsuper,PC25,2.21
Coffea,SCsuper,PC26,2.19
Coffea,SCsuper,PC27,2.17
Coffea,SCsuper,PC28,2.16
Coffea,SCsuper,PC29,2.14
Coffea,SCsuper,PC30,2.14
Coffea,SCsuper,PC31,2.12
Coffea,SCsuper,PC32,2.11
Coffea,BUSCOsuper,PC1,4.71
Coffea,BUSCOsuper,PC2,3.7
Coffea,BUSCOsuper,PC3,3.12
Coffea,BUSCOsuper,PC4,2.87
Coffea,BUSCOsuper,PC5,2.76
Coffea,BUSCOsuper,PC6,2.74
Coffea,BUSCOsuper,PC7,2.64
Coffea,BUSCOsuper,PC8,2.54
Coffea,BUSCOsuper,PC9,2.51
Coffea,BUSCOsuper,PC10,2.5
Coffea,BUSCOsuper,PC11,2.48
Coffea,BUSCOsuper,PC12,2.44
Coffea,BUSCOsuper,PC13,2.42
Coffea,BUSCOsuper,PC14,2.4
Coffea,BUSCOsuper,PC15,2.38
Coffea,BUSCOsuper,PC16,2.35
Coffea,BUSCOsuper,PC17,2.34
Coffea,BUSCOsuper,PC18,2.33
Coffea,BUSCOsuper,PC19,2.3
Coffea,BUSCOsuper,PC20,2.3
Coffea,BUSCOsuper,PC21,2.28
Coffea,BUSCOsuper,PC22,2.26
Coffea,BUSCOsuper,PC23,2.26
Coffea,BUSCOsuper,PC24,2.24
Coffea,BUSCOsuper,PC25,2.23
Coffea,BUSCOsuper,PC26,2.21
Coffea,BUSCOsuper,PC27,2.19
Coffea,BUSCOsuper,PC28,2.17
Coffea,BUSCOsuper,PC29,2.15
Coffea,BUSCOsuper,PC30,2.12
Coffea,BUSCOsuper,PC31,2.11
Coffea,BUSCOsuper,PC32,2.07
Coffea,BUSCO,PC1,3.89
Coffea,BUSCO,PC2,3.38
Coffea,BUSCO,PC3,3.2
Coffea,BUSCO,PC4,2.87
Coffea,BUSCO,PC5,2.84
Coffea,BUSCO,PC6,2.77
Coffea,BUSCO,PC7,2.75
Coffea,BUSCO,PC8,2.72
Coffea,BUSCO,PC9,2.68
Coffea,BUSCO,PC10,2.66
Coffea,BUSCO,PC11,2.6
Coffea,BUSCO,PC12,2.57
Coffea,BUSCO,PC13,2.53
Coffea,BUSCO,PC14,2.5
Coffea,BUSCO,PC15,2.48
Coffea,BUSCO,PC16,2.47
Coffea,BUSCO,PC17,2.43
Coffea,BUSCO,PC18,2.4
Coffea,BUSCO,PC19,2.38
Coffea,BUSCO,PC20,2.36
Coffea,BUSCO,PC21,2.29
Coffea,BUSCO,PC22,2.28
Coffea,BUSCO,PC23,2.27
Coffea,BUSCO,PC24,2.24
Coffea,BUSCO,PC25,2.23
Coffea,BUSCO,PC26,2.21
Coffea,BUSCO,PC27,2.18
Coffea,BUSCO,PC28,2.17
Coffea,BUSCO,PC29,2.15
Coffea,BUSCO,PC30,2.11
Coffea,BUSCO,PC31,2.09
Coffea,BUSCO,PC32,2.07
Coffea,353_super,PC1,5.22
Coffea,353_super,PC2,4.24
Coffea,353_super,PC3,3.6
Coffea,353_super,PC4,3.19
Coffea,353_super,PC5,3.08
Coffea,353_super,PC6,2.99
Coffea,353_super,PC7,2.86
Coffea,353_super,PC8,2.83
Coffea,353_super,PC9,2.75
Coffea,353_super,PC10,2.72
Coffea,353_super,PC11,2.6
Coffea,353_super,PC12,2.52
Coffea,353_super,PC13,2.51
Coffea,353_super,PC14,2.47
Coffea,353_super,PC15,2.44
Coffea,353_super,PC16,2.44
Coffea,353_super,PC17,2.39
Coffea,353_super,PC18,2.37
Coffea,353_super,PC19,2.32
Coffea,353_super,PC20,2.28
Coffea,353_super,PC21,2.25
Coffea,353_super,PC22,2.23
Coffea,353_super,PC23,2.22
Coffea,353_super,PC24,2.15
Coffea,353_super,PC25,2.14
Coffea,353_super,PC26,2.09
Coffea,353_super,PC27,2.07
Coffea,353_super,PC28,2.02
Coffea,353_super,PC29,1.99
Coffea,353_super,PC30,1.95
Coffea,353_super,PC31,1.93
Coffea,353_super,PC32,1.89
Coffea,353_gene,PC1,4.52
Coffea,353_gene,PC2,3.93
Coffea,353_gene,PC3,3.89
Coffea,353_gene,PC4,3.48
Coffea,353_gene,PC5,3.41
Coffea,353_gene,PC6,3.32
Coffea,353_gene,PC7,3.17
Coffea,353_gene,PC8,3.14
Coffea,353_gene,PC9,2.97
Coffea,353_gene,PC10,2.95
Coffea,353_gene,PC11,2.84
Coffea,353_gene,PC12,2.77
Coffea,353_gene,PC13,2.69
Coffea,353_gene,PC14,2.63
Coffea,353_gene,PC15,2.55
Coffea,353_gene,PC16,2.54
Coffea,353_gene,PC17,2.5
Coffea,353_gene,PC18,2.48
Coffea,353_gene,PC19,2.44
Coffea,353_gene,PC20,2.36
Coffea,353_gene,PC21,2.29
Coffea,353_gene,PC22,2.26
Coffea,353_gene,PC23,2.16
Coffea,353_gene,PC24,2.12
Coffea,353_gene,PC25,2.07
Coffea,353_gene,PC26,2.04
Coffea,353_gene,PC27,1.98
Coffea,353_gene,PC28,1.96
Coffea,353_gene,PC29,1.92
Coffea,353_gene,PC30,1.88
Coffea,353_gene,PC31,1.8
Coffea,353_gene,PC32,1.76
Coix,353_super,PC1,16.34
Coix,353_super,PC2,11.27
Coix,353_super,PC3,7.05
Coix,353_super,PC4,6.03
Coix,353_super,PC5,5.66
Coix,353_super,PC6,5.03
Coix,353_super,PC7,4.03
Coix,353_super,PC8,3.47
Coix,353_super,PC9,3.02
Coix,353_super,PC10,2.98
Coix,353_super,PC11,2.85
Coix,353_super,PC12,2.82
Coix,353_super,PC13,2.62
Coix,353_super,PC14,2.55
Coix,353_super,PC15,2.38
Coix,353_super,PC16,2.3
Coix,353_super,PC17,2.19
Coix,353_super,PC18,1.98
Coix,353_super,PC19,1.95
Coix,353_super,PC20,1.9
Coix,353_super,PC21,1.83
Coix,353_super,PC22,1.73
Coix,353_super,PC23,1.69
Coix,353_super,PC24,1.59
Coix,353_super,PC25,1.58
Coix,353_super,PC26,1.4
Coix,353_super,PC27,1.38
Coix,353_super,PC28,0.36
Coix,353_super,PC29,0
Coix,353_gene,PC1,16.11
Coix,353_gene,PC2,11.79
Coix,353_gene,PC3,7.09
Coix,353_gene,PC4,6.16
Coix,353_gene,PC5,5.91
Coix,353_gene,PC6,4.5
Coix,353_gene,PC7,3.73
Coix,353_gene,PC8,3.63
Coix,353_gene,PC9,3.44
Coix,353_gene,PC10,3.15
Coix,353_gene,PC11,2.86
Coix,353_gene,PC12,2.69
Coix,353_gene,PC13,2.56
Coix,353_gene,PC14,2.45
Coix,353_gene,PC15,2.42
Coix,353_gene,PC16,2.26
Coix,353_gene,PC17,2.11
Coix,353_gene,PC18,2.06
Coix,353_gene,PC19,2
Coix,353_gene,PC20,1.85
Coix,353_gene,PC21,1.75
Coix,353_gene,PC22,1.71
Coix,353_gene,PC23,1.63
Coix,353_gene,PC24,1.57
Coix,353_gene,PC25,1.54
Coix,353_gene,PC26,1.39
Coix,353_gene,PC27,1.22
Coix,353_gene,PC28,0.41
Coix,353_gene,PC29,0
Coix,singlecopy,PC1,15.26
Coix,singlecopy,PC2,9.99
Coix,singlecopy,PC3,6.26
Coix,singlecopy,PC4,5.75
Coix,singlecopy,PC5,5.5
Coix,singlecopy,PC6,5.18
Coix,singlecopy,PC7,4.04
Coix,singlecopy,PC8,3.58
Coix,singlecopy,PC9,3.39
Coix,singlecopy,PC10,3.16
Coix,singlecopy,PC11,2.96
Coix,singlecopy,PC12,2.84
Coix,singlecopy,PC13,2.81
Coix,singlecopy,PC14,2.69
Coix,singlecopy,PC15,2.5
Coix,singlecopy,PC16,2.31
Coix,singlecopy,PC17,2.21
Coix,singlecopy,PC18,2.13
Coix,singlecopy,PC19,2.06
Coix,singlecopy,PC20,2.01
Coix,singlecopy,PC21,1.97
Coix,singlecopy,PC22,1.93
Coix,singlecopy,PC23,1.9
Coix,singlecopy,PC24,1.87
Coix,singlecopy,PC25,1.85
Coix,singlecopy,PC26,1.76
Coix,singlecopy,PC27,1.69
Coix,singlecopy,PC28,0.38
Coix,singlecopy,PC29,0
Coix,SCsuper,PC1,13.33
Coix,SCsuper,PC2,8.69
Coix,SCsuper,PC3,5.86
Coix,SCsuper,PC4,5.44
Coix,SCsuper,PC5,5.06
Coix,SCsuper,PC6,4.85
Coix,SCsuper,PC7,4.19
Coix,SCsuper,PC8,3.54
Coix,SCsuper,PC9,3.37
Coix,SCsuper,PC10,3.26
Coix,SCsuper,PC11,3.16
Coix,SCsuper,PC12,3.06
Coix,SCsuper,PC13,2.97
Coix,SCsuper,PC14,2.88
Coix,SCsuper,PC15,2.74
Coix,SCsuper,PC16,2.57
Coix,SCsuper,PC17,2.52
Coix,SCsuper,PC18,2.4
Coix,SCsuper,PC19,2.29
Coix,SCsuper,PC20,2.27
Coix,SCsuper,PC21,2.22
Coix,SCsuper,PC22,2.21
Coix,SCsuper,PC23,2.2
Coix,SCsuper,PC24,2.13
Coix,SCsuper,PC25,2.11
Coix,SCsuper,PC26,2.06
Coix,SCsuper,PC27,2.04
Coix,SCsuper,PC28,0.57
Coix,SCsuper,PC29,0
Coix,genome,PC1,20.29
Coix,genome,PC2,9.83
Coix,genome,PC3,7.8
Coix,genome,PC4,6.54
Coix,genome,PC5,6
Coix,genome,PC6,5.22
Coix,genome,PC7,4.67
Coix,genome,PC8,4.4
Coix,genome,PC9,3.59
Coix,genome,PC10,3.04
Coix,genome,PC11,2.92
Coix,genome,PC12,2.67
Coix,genome,PC13,2.56
Coix,genome,PC14,2.41
Coix,genome,PC15,2.22
Coix,genome,PC16,1.73
Coix,genome,PC17,1.66
Coix,genome,PC18,1.6
Coix,genome,PC19,1.5
Coix,genome,PC20,1.41
Coix,genome,PC21,1.35
Coix,genome,PC22,1.34
Coix,genome,PC23,1.28
Coix,genome,PC24,1.23
Coix,genome,PC25,1.19
Coix,genome,PC26,0.7
Coix,genome,PC27,0.67
Coix,genome,PC28,0.18
Coix,genome,PC29,0
Coix,BUSCOsuper,PC1,14.66
Coix,BUSCOsuper,PC2,9.71
Coix,BUSCOsuper,PC3,6.39
Coix,BUSCOsuper,PC4,5.43
Coix,BUSCOsuper,PC5,5.21
Coix,BUSCOsuper,PC6,5.04
Coix,BUSCOsuper,PC7,4.46
Coix,BUSCOsuper,PC8,3.4
Coix,BUSCOsuper,PC9,3.26
Coix,BUSCOsuper,PC10,3.11
Coix,BUSCOsuper,PC11,3.02
Coix,BUSCOsuper,PC12,2.86
Coix,BUSCOsuper,PC13,2.85
Coix,BUSCOsuper,PC14,2.79
Coix,BUSCOsuper,PC15,2.61
Coix,BUSCOsuper,PC16,2.48
Coix,BUSCOsuper,PC17,2.37
Coix,BUSCOsuper,PC18,2.27
Coix,BUSCOsuper,PC19,2.17
Coix,BUSCOsuper,PC20,2.05
Coix,BUSCOsuper,PC21,1.97
Coix,BUSCOsuper,PC22,1.97
Coix,BUSCOsuper,PC23,1.94
Coix,BUSCOsuper,PC24,1.92
Coix,BUSCOsuper,PC25,1.89
Coix,BUSCOsuper,PC26,1.86
Coix,BUSCOsuper,PC27,1.76
Coix,BUSCOsuper,PC28,0.53
Coix,BUSCOsuper,PC29,0
Coix,BUSCO ,PC1,14.67
Coix,BUSCO ,PC2,10.4
Coix,BUSCO ,PC3,6.73
Coix,BUSCO ,PC4,5.96
Coix,BUSCO ,PC5,5.69
Coix,BUSCO ,PC6,5.09
Coix,BUSCO ,PC7,3.92
Coix,BUSCO ,PC8,3.77
Coix,BUSCO ,PC9,3.39
Coix,BUSCO ,PC10,2.93
Coix,BUSCO ,PC11,2.91
Coix,BUSCO ,PC12,2.79
Coix,BUSCO ,PC13,2.62
Coix,BUSCO ,PC14,2.54
Coix,BUSCO ,PC15,2.42
Coix,BUSCO ,PC16,2.34
Coix,BUSCO ,PC17,2.24
Coix,BUSCO ,PC18,2.18
Coix,BUSCO ,PC19,2.14
Coix,BUSCO ,PC20,2.1
Coix,BUSCO ,PC21,2
Coix,BUSCO ,PC22,1.94
Coix,BUSCO ,PC23,1.92
Coix,BUSCO ,PC24,1.84
Coix,BUSCO ,PC25,1.77
Coix,BUSCO ,PC26,1.73
Coix,BUSCO ,PC27,1.62
Coix,BUSCO ,PC28,0.34
Coix,BUSCO ,PC29,0
Corylus,353_gene,PC1,9.98
Corylus,353_gene,PC2,5.02
Corylus,353_gene,PC3,4.46
Corylus,353_gene,PC4,3.58
Corylus,353_gene,PC5,3.25
Corylus,353_gene,PC6,3.06
Corylus,353_gene,PC7,2.91
Corylus,353_gene,PC8,2.87
Corylus,353_gene,PC9,2.79
Corylus,353_gene,PC10,2.68
Corylus,353_gene,PC11,2.65
Corylus,353_gene,PC12,2.54
Corylus,353_gene,PC13,2.49
Corylus,353_gene,PC14,2.45
Corylus,353_gene,PC15,2.43
Corylus,353_gene,PC16,2.4
Corylus,353_gene,PC17,2.34
Corylus,353_gene,PC18,2.32
Corylus,353_gene,PC19,2.25
Corylus,353_gene,PC20,2.23
Corylus,353_gene,PC21,2.19
Corylus,353_gene,PC22,2.16
Corylus,353_gene,PC23,2.11
Corylus,353_gene,PC24,2.05
Corylus,353_gene,PC25,1.98
Corylus,353_gene,PC26,1.96
Corylus,353_gene,PC27,1.87
Corylus,353_gene,PC28,1.83
Corylus,353_gene,PC29,1.81
Corylus,353_gene,PC30,1.79
Corylus,353_gene,PC31,1.75
Corylus,353_gene,PC32,1.66
Corylus,353_super,PC1,9.71
Corylus,353_super,PC2,5.16
Corylus,353_super,PC3,4.77
Corylus,353_super,PC4,3.89
Corylus,353_super,PC5,3.27
Corylus,353_super,PC6,2.99
Corylus,353_super,PC7,2.79
Corylus,353_super,PC8,2.73
Corylus,353_super,PC9,2.66
Corylus,353_super,PC10,2.62
Corylus,353_super,PC11,2.59
Corylus,353_super,PC12,2.5
Corylus,353_super,PC13,2.46
Corylus,353_super,PC14,2.39
Corylus,353_super,PC15,2.37
Corylus,353_super,PC16,2.33
Corylus,353_super,PC17,2.3
Corylus,353_super,PC18,2.29
Corylus,353_super,PC19,2.25
Corylus,353_super,PC20,2.17
Corylus,353_super,PC21,2.15
Corylus,353_super,PC22,2.12
Corylus,353_super,PC23,2.06
Corylus,353_super,PC24,2.03
Corylus,353_super,PC25,2
Corylus,353_super,PC26,1.98
Corylus,353_super,PC27,1.94
Corylus,353_super,PC28,1.91
Corylus,353_super,PC29,1.91
Corylus,353_super,PC30,1.86
Corylus,353_super,PC31,1.83
Corylus,353_super,PC32,1.78
Corylus,BUSCO,PC1,10.24
Corylus,BUSCO,PC2,4.94
Corylus,BUSCO,PC3,4.46
Corylus,BUSCO,PC4,3.77
Corylus,BUSCO,PC5,3.07
Corylus,BUSCO,PC6,2.91
Corylus,BUSCO,PC7,2.62
Corylus,BUSCO,PC8,2.5
Corylus,BUSCO,PC9,2.5
Corylus,BUSCO,PC10,2.4
Corylus,BUSCO,PC11,2.35
Corylus,BUSCO,PC12,2.34
Corylus,BUSCO,PC13,2.33
Corylus,BUSCO,PC14,2.28
Corylus,BUSCO,PC15,2.26
Corylus,BUSCO,PC16,2.25
Corylus,BUSCO,PC17,2.23
Corylus,BUSCO,PC18,2.21
Corylus,BUSCO,PC19,2.2
Corylus,BUSCO,PC20,2.15
Corylus,BUSCO,PC21,2.14
Corylus,BUSCO,PC22,2.12
Corylus,BUSCO,PC23,2.1
Corylus,BUSCO,PC24,2.08
Corylus,BUSCO,PC25,2.06
Corylus,BUSCO,PC26,2.05
Corylus,BUSCO,PC27,2.04
Corylus,BUSCO,PC28,2.03
Corylus,BUSCO,PC29,2
Corylus,BUSCO,PC30,2
Corylus,BUSCO,PC31,1.97
Corylus,BUSCO,PC32,1.94
Corylus,BUSCOsuper,PC1,8.52
Corylus,BUSCOsuper,PC2,4.43
Corylus,BUSCOsuper,PC3,4.01
Corylus,BUSCOsuper,PC4,3.56
Corylus,BUSCOsuper,PC5,3.05
Corylus,BUSCOsuper,PC6,2.81
Corylus,BUSCOsuper,PC7,2.59
Corylus,BUSCOsuper,PC8,2.47
Corylus,BUSCOsuper,PC9,2.45
Corylus,BUSCOsuper,PC10,2.43
Corylus,BUSCOsuper,PC11,2.41
Corylus,BUSCOsuper,PC12,2.37
Corylus,BUSCOsuper,PC13,2.32
Corylus,BUSCOsuper,PC14,2.31
Corylus,BUSCOsuper,PC15,2.3
Corylus,BUSCOsuper,PC16,2.29
Corylus,BUSCOsuper,PC17,2.25
Corylus,BUSCOsuper,PC18,2.25
Corylus,BUSCOsuper,PC19,2.23
Corylus,BUSCOsuper,PC20,2.22
Corylus,BUSCOsuper,PC21,2.2
Corylus,BUSCOsuper,PC22,2.19
Corylus,BUSCOsuper,PC23,2.18
Corylus,BUSCOsuper,PC24,2.17
Corylus,BUSCOsuper,PC25,2.14
Corylus,BUSCOsuper,PC26,2.14
Corylus,BUSCOsuper,PC27,2.13
Corylus,BUSCOsuper,PC28,2.12
Corylus,BUSCOsuper,PC29,2.1
Corylus,BUSCOsuper,PC30,2.08
Corylus,BUSCOsuper,PC31,2.04
Corylus,BUSCOsuper,PC32,2.02
Corylus,genome,PC1,9.82
Corylus,genome,PC2,4.85
Corylus,genome,PC3,4.32
Corylus,genome,PC4,3.78
Corylus,genome,PC5,2.86
Corylus,genome,PC6,2.77
Corylus,genome,PC7,2.54
Corylus,genome,PC8,2.5
Corylus,genome,PC9,2.42
Corylus,genome,PC10,2.39
Corylus,genome,PC11,2.38
Corylus,genome,PC12,2.35
Corylus,genome,PC13,2.33
Corylus,genome,PC14,2.32
Corylus,genome,PC15,2.31
Corylus,genome,PC16,2.28
Corylus,genome,PC17,2.26
Corylus,genome,PC18,2.25
Corylus,genome,PC19,2.23
Corylus,genome,PC20,2.2
Corylus,genome,PC21,2.2
Corylus,genome,PC22,2.18
Corylus,genome,PC23,2.16
Corylus,genome,PC24,2.16
Corylus,genome,PC25,2.14
Corylus,genome,PC26,2.12
Corylus,genome,PC27,2.11
Corylus,genome,PC28,2.09
Corylus,genome,PC29,2.06
Corylus,genome,PC30,2.04
Corylus,genome,PC31,1.97
Corylus,genome,PC32,1.96
Corylus,SCsuper,PC1,9.09
Corylus,SCsuper,PC2,4.6
Corylus,SCsuper,PC3,4.22
Corylus,SCsuper,PC4,3.71
Corylus,SCsuper,PC5,3.05
Corylus,SCsuper,PC6,2.9
Corylus,SCsuper,PC7,2.88
Corylus,SCsuper,PC8,2.69
Corylus,SCsuper,PC9,2.64
Corylus,SCsuper,PC10,2.57
Corylus,SCsuper,PC11,2.51
Corylus,SCsuper,PC12,2.5
Corylus,SCsuper,PC13,2.48
Corylus,SCsuper,PC14,2.41
Corylus,SCsuper,PC15,2.36
Corylus,SCsuper,PC16,2.33
Corylus,SCsuper,PC17,2.32
Corylus,SCsuper,PC18,2.29
Corylus,SCsuper,PC19,2.26
Corylus,SCsuper,PC20,2.23
Corylus,SCsuper,PC21,2.21
Corylus,SCsuper,PC22,2.15
Corylus,SCsuper,PC23,2.13
Corylus,SCsuper,PC24,2.11
Corylus,SCsuper,PC25,2.09
Corylus,SCsuper,PC26,2.07
Corylus,SCsuper,PC27,2.06
Corylus,SCsuper,PC28,1.99
Corylus,SCsuper,PC29,1.98
Corylus,SCsuper,PC30,1.96
Corylus,SCsuper,PC31,1.91
Corylus,SCsuper,PC32,1.87
Corylus,singlecopy,PC1,9.37
Corylus,singlecopy,PC2,4.91
Corylus,singlecopy,PC3,4.62
Corylus,singlecopy,PC4,3.52
Corylus,singlecopy,PC5,3.14
Corylus,singlecopy,PC6,2.96
Corylus,singlecopy,PC7,2.89
Corylus,singlecopy,PC8,2.81
Corylus,singlecopy,PC9,2.68
Corylus,singlecopy,PC10,2.64
Corylus,singlecopy,PC11,2.59
Corylus,singlecopy,PC12,2.54
Corylus,singlecopy,PC13,2.54
Corylus,singlecopy,PC14,2.48
Corylus,singlecopy,PC15,2.44
Corylus,singlecopy,PC16,2.4
Corylus,singlecopy,PC17,2.38
Corylus,singlecopy,PC18,2.31
Corylus,singlecopy,PC19,2.29
Corylus,singlecopy,PC20,2.23
Corylus,singlecopy,PC21,2.22
Corylus,singlecopy,PC22,2.16
Corylus,singlecopy,PC23,2.13
Corylus,singlecopy,PC24,2.06
Corylus,singlecopy,PC25,2.03
Corylus,singlecopy,PC26,2
Corylus,singlecopy,PC27,1.93
Corylus,singlecopy,PC28,1.93
Corylus,singlecopy,PC29,1.88
Corylus,singlecopy,PC30,1.87
Corylus,singlecopy,PC31,1.81
Corylus,singlecopy,PC32,1.8
Costus,SCsuper,PC1,10.23
Costus,SCsuper,PC2,9.34
Costus,SCsuper,PC3,7.43
Costus,SCsuper,PC4,7.02
Costus,SCsuper,PC5,6.12
Costus,SCsuper,PC6,4.65
Costus,SCsuper,PC7,4.48
Costus,SCsuper,PC8,4.31
Costus,SCsuper,PC9,4.1
Costus,SCsuper,PC10,4.01
Costus,SCsuper,PC11,3.86
Costus,SCsuper,PC12,3.82
Costus,SCsuper,PC13,3.65
Costus,SCsuper,PC14,3.53
Costus,SCsuper,PC15,3.38
Costus,SCsuper,PC16,3.24
Costus,SCsuper,PC17,3.1
Costus,SCsuper,PC18,3.04
Costus,SCsuper,PC19,2.83
Costus,SCsuper,PC20,2.62
Costus,SCsuper,PC21,1.96
Costus,SCsuper,PC22,1.79
Costus,SCsuper,PC23,1.48
Costus,SCsuper,PC24,0
Costus,genome,PC1,10.43
Costus,genome,PC2,8.99
Costus,genome,PC3,6.95
Costus,genome,PC4,6.54
Costus,genome,PC5,6
Costus,genome,PC6,5.17
Costus,genome,PC7,4.86
Costus,genome,PC8,4.57
Costus,genome,PC9,4.54
Costus,genome,PC10,4.39
Costus,genome,PC11,4.14
Costus,genome,PC12,4.01
Costus,genome,PC13,3.86
Costus,genome,PC14,3.79
Costus,genome,PC15,3.6
Costus,genome,PC16,3.5
Costus,genome,PC17,3.46
Costus,genome,PC18,3.05
Costus,genome,PC19,2.98
Costus,genome,PC20,2.06
Costus,genome,PC21,1.74
Costus,genome,PC22,1.37
Costus,genome,PC23,0
Costus,BUSCOsuper,PC1,11.4
Costus,BUSCOsuper,PC2,10.58
Costus,BUSCOsuper,PC3,8.54
Costus,BUSCOsuper,PC4,7.69
Costus,BUSCOsuper,PC5,6.23
Costus,BUSCOsuper,PC6,4.75
Costus,BUSCOsuper,PC7,4.04
Costus,BUSCOsuper,PC8,3.97
Costus,BUSCOsuper,PC9,3.85
Costus,BUSCOsuper,PC10,3.76
Costus,BUSCOsuper,PC11,3.61
Costus,BUSCOsuper,PC12,3.47
Costus,BUSCOsuper,PC13,3.34
Costus,BUSCOsuper,PC14,3
Costus,BUSCOsuper,PC15,2.92
Costus,BUSCOsuper,PC16,2.86
Costus,BUSCOsuper,PC17,2.81
Costus,BUSCOsuper,PC18,2.71
Costus,BUSCOsuper,PC19,2.61
Costus,BUSCOsuper,PC20,2.15
Costus,BUSCOsuper,PC21,2.11
Costus,BUSCOsuper,PC22,1.4
Costus,BUSCOsuper,PC23,1.27
Costus,BUSCOsuper,PC24,0.96
Costus,BUSCOsuper,PC25,0
Costus,BUSCO,PC1,15.05
Costus,BUSCO,PC2,11.04
Costus,BUSCO,PC3,9.56
Costus,BUSCO,PC4,7.58
Costus,BUSCO,PC5,6.23
Costus,BUSCO,PC6,4.63
Costus,BUSCO,PC7,4.14
Costus,BUSCO,PC8,3.85
Costus,BUSCO,PC9,3.75
Costus,BUSCO,PC10,3.58
Costus,BUSCO,PC11,3.34
Costus,BUSCO,PC12,3.27
Costus,BUSCO,PC13,3.2
Costus,BUSCO,PC14,2.99
Costus,BUSCO,PC15,2.84
Costus,BUSCO,PC16,2.82
Costus,BUSCO,PC17,2.6
Costus,BUSCO,PC18,2.38
Costus,BUSCO,PC19,2.16
Costus,BUSCO,PC20,1.83
Costus,BUSCO,PC21,1.75
Costus,BUSCO,PC22,1.4
Costus,BUSCO,PC23,0
Costus,353_super,PC1,12.8
Costus,353_super,PC2,10.92
Costus,353_super,PC3,9.15
Costus,353_super,PC4,7.89
Costus,353_super,PC5,6.24
Costus,353_super,PC6,4.57
Costus,353_super,PC7,4.48
Costus,353_super,PC8,4.31
Costus,353_super,PC9,4.04
Costus,353_super,PC10,3.92
Costus,353_super,PC11,3.78
Costus,353_super,PC12,3.6
Costus,353_super,PC13,3.37
Costus,353_super,PC14,3.3
Costus,353_super,PC15,3.14
Costus,353_super,PC16,2.82
Costus,353_super,PC17,2.6
Costus,353_super,PC18,2.39
Costus,353_super,PC19,2.28
Costus,353_super,PC20,1.64
Costus,353_super,PC21,1.51
Costus,353_super,PC22,1.21
Costus,353_super,PC23,0
Costus,353_gene,PC1,14.39
Costus,353_gene,PC2,11.05
Costus,353_gene,PC3,8.81
Costus,353_gene,PC4,7.44
Costus,353_gene,PC5,5.95
Costus,353_gene,PC6,5.04
Costus,353_gene,PC7,4.69
Costus,353_gene,PC8,4.11
Costus,353_gene,PC9,4.05
Costus,353_gene,PC10,3.79
Costus,353_gene,PC11,3.5
Costus,353_gene,PC12,3.41
Costus,353_gene,PC13,3.39
Costus,353_gene,PC14,3.02
Costus,353_gene,PC15,2.91
Costus,353_gene,PC16,2.79
Costus,353_gene,PC17,2.63
Costus,353_gene,PC18,2.36
Costus,353_gene,PC19,1.9
Costus,353_gene,PC20,1.74
Costus,353_gene,PC21,1.59
Costus,353_gene,PC22,1.43
Costus,353_gene,PC23,0
Costus,singlecopy,PC1,12.05
Costus,singlecopy,PC2,10.24
Costus,singlecopy,PC3,8.93
Costus,singlecopy,PC4,7.54
Costus,singlecopy,PC5,6.2
Costus,singlecopy,PC6,4.51
Costus,singlecopy,PC7,4.12
Costus,singlecopy,PC8,4.06
Costus,singlecopy,PC9,3.85
Costus,singlecopy,PC10,3.73
Costus,singlecopy,PC11,3.6
Costus,singlecopy,PC12,3.51
Costus,singlecopy,PC13,3.46
Costus,singlecopy,PC14,3.14
Costus,singlecopy,PC15,3.09
Costus,singlecopy,PC16,3.05
Costus,singlecopy,PC17,2.87
Costus,singlecopy,PC18,2.8
Costus,singlecopy,PC19,2.38
Costus,singlecopy,PC20,2.31
Costus,singlecopy,PC21,1.67
