Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
UCE,0.00690251,7.35E-08,6.54E+04,1.06E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00696662,7.42E-08,6.85E+04,1.02E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00729042,7.76E-08,6.47E+04,1.13E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00697384,7.42E-08,6.85E+04,1.02E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00712522,7.59E-08,7.05E+04,1.01E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00734302,7.82E-08,7.01E+04,1.05E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00770338,8.20E-08,6.95E+04,1.11E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00681287,7.25E-08,6.98E+04,9.76E-08,Malania_oleifera,perennial,outcrossing,large
UCE,0.00820858,8.74E-08,7.10E+04,1.16E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00783841,8.34E-08,6.52E+04,1.20E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00748666,7.97E-08,6.67E+04,1.12E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00658711,7.01E-08,7.01E+04,9.40E-08,Malania_oleifera,perennial,outcrossing,large
UCE,0.009233,9.83E-08,6.53E+04,1.41E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00756425,8.05E-08,6.84E+04,1.11E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00703021,7.48E-08,7.03E+04,1.00E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.0072068,7.67E-08,7.09E+04,1.02E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00712357,7.58E-08,6.64E+04,1.07E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00750452,7.99E-08,6.53E+04,1.15E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00801811,8.54E-08,6.06E+04,1.32E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00795035,8.46E-08,6.53E+04,1.22E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00740883,7.89E-08,7.25E+04,1.02E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00703878,7.49E-08,7.14E+04,9.86E-08,Malania_oleifera,perennial,outcrossing,large
UCE,0.00657895,7.00E-08,7.30E+04,9.01E-08,Malania_oleifera,perennial,outcrossing,large
UCE,0.00607826,6.47E-08,6.60E+04,9.21E-08,Malania_oleifera,perennial,outcrossing,large
UCE,0.00716291,7.63E-08,6.57E+04,1.09E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00744816,7.93E-08,6.98E+04,1.07E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00698985,7.44E-08,6.55E+04,1.07E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00831567,8.85E-08,7.41E+04,1.12E-07,Malania_oleifera,perennial,outcrossing,large
UCE,0.00708498,7.54E-08,7.22E+04,9.81E-08,Malania_oleifera,perennial,outcrossing,large
UCE,0.00702588,7.48E-08,7.45E+04,9.43E-08,Malania_oleifera,perennial,outcrossing,large
