Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
genome,0.00220775,2.07E-12,9.82E+08,2.25E-12,Geospiza,perennial,outcrossing,large
genome,0.00241668,2.27E-12,9.26E+08,2.61E-12,Geospiza,perennial,outcrossing,large
genome,0.00248909,2.34E-12,9.44E+08,2.64E-12,Geospiza,perennial,outcrossing,large
genome,0.00570087,5.35E-12,5.20E+08,1.10E-11,Geospiza,perennial,outcrossing,large
genome,0.00537541,5.05E-12,9.17E+08,5.86E-12,Geospiza,perennial,outcrossing,large
genome,0.0011117,1.04E-12,9.51E+08,1.17E-12,Geospiza,perennial,outcrossing,large
genome,0.00105791,9.93E-13,9.70E+08,1.09E-12,Geospiza,perennial,outcrossing,large
genome,0.00119492,1.12E-12,9.60E+08,1.25E-12,Geospiza,perennial,outcrossing,large
genome,0.00145811,1.37E-12,9.86E+08,1.48E-12,Geospiza,perennial,outcrossing,large
UCE,0.000285421,6.88E-09,4.14E+03,6.90E-08,Geospiza,perennial,outcrossing,large
UCE,0.00163163,3.93E-08,3.42E+04,4.77E-08,Geospiza,perennial,outcrossing,large
