Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
singlecopy,0.0273626,1.10E-08,2.34E+06,1.17E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0281045,1.13E-08,2.34E+06,1.20E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0271771,1.09E-08,2.34E+06,1.16E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0275681,1.11E-08,2.35E+06,1.17E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0270688,1.09E-08,2.34E+06,1.16E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0262568,1.05E-08,2.34E+06,1.12E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0272142,1.09E-08,2.34E+06,1.16E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0294222,1.18E-08,2.34E+06,1.26E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0295935,1.19E-08,2.34E+06,1.27E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0275553,1.11E-08,2.33E+06,1.18E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0250705,1.01E-08,2.34E+06,1.07E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0266703,1.07E-08,2.34E+06,1.14E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.02762,1.11E-08,2.34E+06,1.18E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0271161,1.09E-08,2.33E+06,1.16E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0271719,1.09E-08,2.33E+06,1.16E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0275153,1.10E-08,2.33E+06,1.18E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0274302,1.10E-08,2.34E+06,1.17E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0271506,1.09E-08,2.34E+06,1.16E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0269749,1.08E-08,2.33E+06,1.16E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.026901,1.08E-08,2.33E+06,1.15E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0275306,1.11E-08,2.33E+06,1.18E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0244016,9.80E-09,2.33E+06,1.05E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.026049,1.05E-08,2.33E+06,1.12E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0272024,1.09E-08,2.33E+06,1.17E-08,Lotus_corniculatus,outcrossing,perennial,medium
singlecopy,0.0300628,1.21E-08,2.34E+06,1.29E-08,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0274517,5.68E-09,4.65E+06,5.90E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0280005,5.79E-09,4.63E+06,6.04E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0283492,5.87E-09,4.64E+06,6.11E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0291967,6.04E-09,4.64E+06,6.30E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0286064,5.92E-09,4.64E+06,6.17E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0283012,5.86E-09,4.65E+06,6.08E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0281872,5.83E-09,4.65E+06,6.06E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0273078,5.65E-09,4.64E+06,5.88E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0283316,5.86E-09,4.64E+06,6.11E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.031105,6.44E-09,4.62E+06,6.73E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0308801,6.39E-09,4.62E+06,6.69E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0289963,6.00E-09,4.63E+06,6.27E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0260835,5.40E-09,4.63E+06,5.64E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0281942,5.83E-09,4.63E+06,6.09E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0287408,5.95E-09,4.61E+06,6.24E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0288653,5.97E-09,4.63E+06,6.24E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0284868,5.90E-09,4.63E+06,6.16E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0288404,5.97E-09,4.62E+06,6.25E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0287706,5.95E-09,4.62E+06,6.23E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.0286944,5.94E-09,4.63E+06,6.20E-09,Lotus_corniculatus,outcrossing,perennial,medium
SCsuper,0.02848,5.89E-09,4.62E+06,6.16E-09,Lotus_corniculatus,outcrossing,perennial,medium
