Sample,,adjusted_het,taxa,life_history,breeding_system,genome_size
BUSCOsuper,,1.14329E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.11271E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.01834E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.00424E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.08012E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.03082E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.08641E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.03086E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,4.1485E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.07407E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.06246E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.04751E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.06763E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.09419E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.05557E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.04527E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.05147E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.03537E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.09891E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.1013E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.09143E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.18261E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.08961E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.05552E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.16247E-09,Coix,perennial,outcrossing,large
BUSCOsuper,,1.02558E-09,Coix,perennial,outcrossing,large
singlecopy,,4.34294E-09,Coix,perennial,outcrossing,large
singlecopy,,1.21139E-09,Coix,perennial,outcrossing,large
singlecopy,,1.25712E-09,Coix,perennial,outcrossing,large
singlecopy,,1.37534E-09,Coix,perennial,outcrossing,large
singlecopy,,1.3724E-09,Coix,perennial,outcrossing,large
singlecopy,,1.22926E-09,Coix,perennial,outcrossing,large
singlecopy,,1.23203E-09,Coix,perennial,outcrossing,large
singlecopy,,1.24201E-09,Coix,perennial,outcrossing,large
singlecopy,,1.27912E-09,Coix,perennial,outcrossing,large
singlecopy,,1.34373E-09,Coix,perennial,outcrossing,large
singlecopy,,1.27936E-09,Coix,perennial,outcrossing,large
singlecopy,,3.86614E-09,Coix,perennial,outcrossing,large
singlecopy,,1.24395E-09,Coix,perennial,outcrossing,large
singlecopy,,1.32494E-09,Coix,perennial,outcrossing,large
singlecopy,,1.31336E-09,Coix,perennial,outcrossing,large
singlecopy,,1.33606E-09,Coix,perennial,outcrossing,large
singlecopy,,1.31614E-09,Coix,perennial,outcrossing,large
singlecopy,,1.27952E-09,Coix,perennial,outcrossing,large
singlecopy,,1.23108E-09,Coix,perennial,outcrossing,large
singlecopy,,1.20974E-09,Coix,perennial,outcrossing,large
singlecopy,,1.21951E-09,Coix,perennial,outcrossing,large
singlecopy,,1.34145E-09,Coix,perennial,outcrossing,large
singlecopy,,1.32799E-09,Coix,perennial,outcrossing,large
singlecopy,,1.34726E-09,Coix,perennial,outcrossing,large
singlecopy,,1.39943E-09,Coix,perennial,outcrossing,large
singlecopy,,1.30834E-09,Coix,perennial,outcrossing,large
singlecopy,,1.23365E-09,Coix,perennial,outcrossing,large
singlecopy,,1.29376E-09,Coix,perennial,outcrossing,large
singlecopy,,1.19554E-09,Coix,perennial,outcrossing,large
SCsuper,,3.17268E-09,Coix,perennial,outcrossing,large
SCsuper,,8.83411E-10,Coix,perennial,outcrossing,large
SCsuper,,9.21207E-10,Coix,perennial,outcrossing,large
SCsuper,,9.67263E-10,Coix,perennial,outcrossing,large
SCsuper,,9.71729E-10,Coix,perennial,outcrossing,large
SCsuper,,8.70872E-10,Coix,perennial,outcrossing,large
SCsuper,,8.71077E-10,Coix,perennial,outcrossing,large
SCsuper,,9.0893E-10,Coix,perennial,outcrossing,large
SCsuper,,8.97986E-10,Coix,perennial,outcrossing,large
SCsuper,,9.32347E-10,Coix,perennial,outcrossing,large
SCsuper,,9.05994E-10,Coix,perennial,outcrossing,large
SCsuper,,2.88102E-09,Coix,perennial,outcrossing,large
SCsuper,,9.05486E-10,Coix,perennial,outcrossing,large
SCsuper,,9.28462E-10,Coix,perennial,outcrossing,large
SCsuper,,9.2465E-10,Coix,perennial,outcrossing,large
SCsuper,,9.46169E-10,Coix,perennial,outcrossing,large
SCsuper,,9.48345E-10,Coix,perennial,outcrossing,large
SCsuper,,9.13878E-10,Coix,perennial,outcrossing,large
SCsuper,,8.89357E-10,Coix,perennial,outcrossing,large
SCsuper,,8.87288E-10,Coix,perennial,outcrossing,large
SCsuper,,8.85562E-10,Coix,perennial,outcrossing,large
SCsuper,,9.51739E-10,Coix,perennial,outcrossing,large
SCsuper,,9.50128E-10,Coix,perennial,outcrossing,large
SCsuper,,9.54447E-10,Coix,perennial,outcrossing,large
SCsuper,,1.00663E-09,Coix,perennial,outcrossing,large
SCsuper,,9.41352E-10,Coix,perennial,outcrossing,large
SCsuper,,9.05331E-10,Coix,perennial,outcrossing,large
SCsuper,,9.65047E-10,Coix,perennial,outcrossing,large
SCsuper,,8.7075E-10,Coix,perennial,outcrossing,large
genome,,1.15382E-11,Coix,perennial,outcrossing,large
genome,,3.51113E-13,Coix,perennial,outcrossing,large
genome,,1.01822E-12,Coix,perennial,outcrossing,large
genome,,2.03625E-12,Coix,perennial,outcrossing,large
genome,,1.00347E-12,Coix,perennial,outcrossing,large
genome,,1.35665E-12,Coix,perennial,outcrossing,large
genome,,1.35814E-12,Coix,perennial,outcrossing,large
genome,,7.75023E-13,Coix,perennial,outcrossing,large
genome,,1.13649E-12,Coix,perennial,outcrossing,large
genome,,1.15262E-12,Coix,perennial,outcrossing,large
genome,,1.15347E-12,Coix,perennial,outcrossing,large
genome,,1.16203E-11,Coix,perennial,outcrossing,large
genome,,7.86683E-13,Coix,perennial,outcrossing,large
genome,,1.50109E-12,Coix,perennial,outcrossing,large
genome,,2.5523E-13,Coix,perennial,outcrossing,large
genome,,2.66748E-13,Coix,perennial,outcrossing,large
genome,,1.43888E-12,Coix,perennial,outcrossing,large
genome,,2.08364E-12,Coix,perennial,outcrossing,large
genome,,1.50203E-12,Coix,perennial,outcrossing,large
genome,,9.83136E-13,Coix,perennial,outcrossing,large
genome,,6.31537E-13,Coix,perennial,outcrossing,large
genome,,3.65502E-13,Coix,perennial,outcrossing,large
genome,,1.57739E-12,Coix,perennial,outcrossing,large
genome,,3.79164E-13,Coix,perennial,outcrossing,large
genome,,1.56856E-12,Coix,perennial,outcrossing,large
genome,,8.76983E-13,Coix,perennial,outcrossing,large
genome,,9.97246E-13,Coix,perennial,outcrossing,large
genome,,8.97983E-13,Coix,perennial,outcrossing,large
genome,,8.13869E-13,Coix,perennial,outcrossing,large
